Heat Rate Corrected for Heat Loss (GJ/hr),CO2 Flow Rate (tonne/hr),Rich Solvent Rate (lb/hr),Stripper Temp (F),Stripper Overhead Delta T (F),RLDG (mol/mol),LLDG (mol/mol),PZ conc (m)
0.393323758,0.135778398,6003.508821,301.8920908,7.537409298,0.391323393,0.184091367,
0.31370548,0.111477431,4510.539663,302.0546845,10.15041439,0.412395231,0.181964127,4.65606
0.336918771,0.129644951,5024.113738,302.1661152,6.999658303,0.409354226,0.183599636,4.66761
0.336131747,0.121665052,5017.822274,301.7935036,4.965789795,0.409862078,0.18584293,4.52
0.338551353,0.127999696,4979.065438,302.1314087,3.840298012,0.409206565,0.178369481,4.54185
0.412946934,0.150927569,6512.127417,301.9892943,5.145508313,0.407002882,0.186616269,4.23166
0.544888891,0.182991518,8405.583105,302.0030563,4.180810293,0.401871581,0.189602847,4.18524
0.623742034,0.184954302,8386.248193,301.9425273,-2.134829162,0.401720921,0.179772047,
0.341638077,0.115825324,7007.481014,301.8413884,10.98392849,0.398754627,0.231439435,4.1537
0.418164806,0.122670429,7491.666648,302.0996609,0.670111734,0.396024504,0.23461239,
0.550709777,0.198644768,12989.52427,301.9598229,-0.531772551,0.38431846,0.236566539,4.40765
0.54947589,0.199021955,13008.74616,302.0088081,-0.390531446,0.383393995,0.239655752,4.2991
0.650125183,0.20350603,12991.97134,301.7964623,0.876725744,0.383199233,0.238682978,4.23306
0.703788374,0.203574914,13000.26742,301.8632953,0.462506404,0.383503049,0.235414726,4.30541
0.680604438,0.197279562,13003.58038,302.2722648,0.110828837,0.385647876,0.243185941,4.38407
0.402267602,0.129453755,4997.473265,319.9731976,-4.091604264,0.408923159,0.193174479,4.27512
0.425212054,0.144404851,7494.900391,319.8447926,-3.071577729,0.388226648,0.229350239,5.55071
0.577935249,0.187254393,10399.80341,320.315948,-5.052977265,0.378841875,0.214444553,5.60105
0.521685841,0.168908575,8501.056977,320.3386521,-2.27718766,0.404779367,0.209445276,4.87648
0.474276308,0.181627117,11192.96252,282.1178884,3.678303453,0.393173173,0.258760955,4.67642
-0.0778,0,,,0,,,4.83892
0.273822787,0.105711848,6703.45126,283.9570448,-7.976191036,0.398922948,0.253073114,
0.315335987,0.129560734,8490.65934,283.935708,-0.717307419,0.377753514,0.250181759,4.843904269
0.297310798,0.125688544,7692.78185,283.8867433,0.282417923,0.387609872,0.247336457,4.836961668
