River,Point bar designation,CB name,State/Province/ Region,Basin or Location,Country,Continent,Designation,Latitude,Longitude,Age,Abandonment type,Channel-belt Character,Accretion dominance,No of channels,Channel Length (m),Channel width (m),Channel Area (km2),Channel W/T,Bar Area (km2),Amplitude (m),CB Width (2x Amplitude - m),Measured Channel-belt Width (m),Channel-belt 1/2 wavelength (m),Meander wavelength (2x 1/2 lambd,Long axis Length (m),Short Axis Length (m),Thickness (m),CB W/T,"CB
wavelength
/ thickness","CB 1/2
wavelength / amplitude",Bankfull Thickness Type,Mean Bankfull thickness (m),Maximum Bankfull thickness (m),Intermediate Bankfull Thickness (m),Eddy Accretion thickness (m),Contributing Drainage Area (km2),Contributing Drainage Basin Length - (km),Drainage Basin Length to CB from Baselevel (km),Valley Slope (*10-3),Channel Slope (*10-3),Sinuosity,Channel Distance from baselevel (km),Max catchment Relief (km),"Q
(bankfull) cms","Koeppen _ Climate
_class_ pointbar",Koeppen Climate class_ pointbar_simplified,"Koeppen climate_ class_simplified
_ptbar_wet/dry",Sources
Amite,1,Amite,Mississippi,GOM,USA,NA,Amite_Gulf Basin,30.531,-90.983,Holocene,cut-off,Single Thread,Lateral - Expansion,1,1220,40,0.042,5,0.084,370,740,757,270,540,370,270,8,93,68,0.73,maximum,,8,,,"7,800",155,50,0.43,0.27,1.4,,0.1,650,Cfa,warm temperate,humid,"McGowen and Garner, 1970; Port Vincent: 1985-2008"
Araguaia,1,Araguaia,Brazil,Bantanal,Brazil,SA,Amazon Foreland,-12.940,-50.559,Holocene,cut-off,Single Thread,Lateral - Translation,1,3880,210,0.831,15,1.398,1570,3140,3463,2130,4260,2130,1570,14,224,304,1.36,mean,14,,,,"117,580",700,,0.15,0.14,1.6,,0.855,3700,Aw,equatorial,humid,"Latrubesse and Stevaux 2002; Latrubesse, 2008; Valente and Latrubesse 2012"
Araguaia,2,Araguaia,Brazil,Bantanal,Brazil,SA,Amazon Foreland,-12.916,-50.540,Holocene,cut-off,Single Thread,Lateral - Translation,1,4170,160,0.656,11,2.413,1220,2440,3463,1610,3220,1610,1220,14,174,230,1.32,mean,14,,,,"117,580",700,,0.15,0.14,1.6,,0.855,3700,Aw,equatorial,humid,"Latrubesse and Stevaux 2002; Latrubesse, 2008; Valente and Latrubesse 2012"
Araguaia,3,Araguaia,Brazil,Bantanal,Brazil,SA,Amazon Foreland,-12.587,-50.675,Holocene,cut-off,Single Thread,Lateral - Translation,1,7410,170,1.245,12,4.742,3630,7260,4727,1960,3920,3630,1960,14,519,280,0.54,mean,14,,,,"117,580",700,,0.18,0.14,1.6,,0.855,3700,Aw,equatorial,humid,"Latrubesse and Stevaux 2002; Latrubesse, 2008; Valente and Latrubesse 2012"
Arkansas,Altheimer1,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,34.307,-91.907,Holocene,cut-off,Single Thread,Lateral - Expansion,1,7110,275,,20,1.857,3170,6340,3478,760,1520,3170,760,14,453,109,0.24,maximum,,14,,,"416,000","1,750",100,0.24,0.22,1.1,,,,Cfa,warm temperate,humid,"Saucier, 1994"
Arkansas,Bonita1,Arkansas,Louisiana,GOM,USA,NA,Arkansas_Gulf Basin,32.939,-91.726,Holocene,avulsion,Single Thread,Lateral - Expansion,1,4600,165,,11,,881,1762,2920,1786,3572,1786,881,15,116,234,2.03,maximum,,15,,,"416,000","1,780",70,0.19,0.13,1.6,,,,,,,"Saucier, 1994"
Arkansas,Callie lake,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,33.825,-91.141,Holocene,cut-off,Single Thread,Lateral - Expansion,1,5650,310,1.740,17,1.850,1930,3860,3691,1240,2480,1930,1240,18,214,138,0.64,intermediate,,21,18,,"416,000","1,842",8,0.16,0.11,1.5,,3.95,4304,Cfa,warm temperate,humid,"Saucier, 1994; Saucier, 1969; Ft Smith: 1998-2007"
Arkansas,Gillette 1,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,34.008,-91.374,Holocene,cut-off,Single Thread,Lateral - Expansion,1,5990,320,1.900,19,2.550,1900,3800,5925,1740,3480,1900,1740,17,224,205,0.92,intermediate,,,17,,"416,000","1,810",40,0.16,0.11,1.5,,3.95,4304,Cfa,warm temperate,humid,"Saucier, 1994; Saucier, 1969; Ft Smith: 1998-2007"
Arkansas,LakeVillage1,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,33.402,-91.437,Holocene,avulsion,Single Thread,Lateral - Expansion,1,3946,151,,13,1.690,1551,3102,3476,1372,2744,1551,1372,12,268,237,0.88,intermediate,,,12,,"416,000","1,780",70,0.23,,,,,,Cfa,warm temperate,humid,"Google Earth,this study; Saucier, 1994; DEM"
Arkansas,Noble 1,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,34.185,-91.830,Holocene,cut-off,Single Thread,Lateral - Expansion,1,13110,200,2.610,18,10.200,5120,10240,7334,2960,5920,5120,2960,11,931,538,0.58,mean,11,18,17,,"416,000","1,763",87,0.29,0.11,2.6,,3.95,4304,Cfa,warm temperate,humid,"Saucier, 1994; Saucier, 1969; Ft Smith: 1998-2007"
Arkansas,Noble 2,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,34.224,-91.949,Holocene,cut-off,Single Thread,Lateral - Expansion,1,8710,310,2.740,21,5.600,2970,5940,5482,2430,4860,2970,2430,15,396,324,0.82,intermediate,10,15,17,,"416,000","1,750",100,0.29,0.11,2.6,,3.95,4304,Cfa,warm temperate,humid,"Saucier, 1994; Saucier, 1969; Ft Smith: 1998-2007"
Arkansas,Sawyer Bend,Arkansas,Arkansas,GOM,USA,NA,Arkansas_Gulf Basin,33.932,-91.162,Holocene,cut-off,Single Thread,Lateral - Expansion,1,5220,240,1.230,13,1.800,1650,3300,4302,1800,3600,1800,1650,18,183,200,1.09,intermediate,10,20,,,"416,000","1,830",20,0.16,0.11,1.5,,3.95,4304,Cfa,warm temperate,humid,"Saucier, 1994; Saucier, 1969; Ft Smith: 1998-2007"
Assiniboine,P15,Assiniboine,Manitoba,Canada Praire,Canada,NA,Assiniboine,50.051,-98.215,Holocene,avulsion,Single Thread,Lateral - Expansion,1,1040,46,0.043,5,0.138,250,500,1010,774,1548,774,250,10,50,155,3.10,mean,10,,,,"153,000",620,80,0.50,0.37,1.4,,,205,Dfb,snow,,"Fenton, 1970; Rannie, 1990 ;Headingley: 1913-1997"
Assiniboine,P9,Assiniboine,Manitoba,Canada Praire,Canada,NA,Assiniboine,49.992,-98.362,Holocene,cut-off,Single Thread,Lateral - Expansion,1,2773,80,0.241,7,0.561,1011,2022,2005,659,1318,659,1011,12,169,110,0.65,intermediate,,,12,,"153,000",620,80,0.50,0.31,1.6,,,205,Dfb,snow,,"Fenton, 1970; Rannie, 1990 ;Headingley: 1913-1997"
Barwon,1,Barwon,Australia,Australia,Australia,NA,Australia,-30.006,148.018,Holocene,cut-off,Single Thread,Lateral - Expansion,1,3010,30,0.100,3,0.480,750,1500,1247,890,1780,890,750,10,150,178,1.19,mean,10,14,,,"139,000",670,,0.16,0.05,2.3,,1.02,240,Bsh,arid,arid,"Woodyer ea, 1979; Woodyer, Taylor, Crook, 1979"
Beatton,1,Beatton,Britisch Columbia,Canada Foreland,Canada,NA,Mackenzie Tributive,57.284,-121.590,Holocene,cut-off,Single Thread,Lateral - Translation,1,1810,50,0.097,7,0.220,680,1360,984,410,820,680,410,7,194,117,0.60,maximum,,7,,,"3,350",97,168,0.30,0.14,2.2,,0.4,556,Dfc,snow,,"Nanson, 1980; Hickin and Nanson, 75; Ft St. John, 1961- 2007"
Beatton,2,Beatton,Britisch Columbia,Canada Foreland,Canada,NA,Mackenzie Tributive,57.286,-121.564,Holocene,cut-off,Single Thread,Lateral - Translation,1,2360,60,0.130,9,0.240,930,1860,762,460,920,930,460,7,266,131,0.49,maximum,,7,,,"3,350",100,165,0.30,0.14,2.2,,0.4,556,Dfc,snow,,"Nanson, 1980; Hickin and Nanson, 75; Ft St. John, 1961- 2007"
Beatton,4,Beatton,Britisch Columbia,Canada Foreland,Canada,NA,Mackenzie Tributive,57.273,-121.456,Holocene,cut-off,Single Thread,Lateral - Translation,1,1620,40,0.064,6,0.140,630,1260,1796,300,600,630,300,7,180,86,0.48,maximum,,7,,,"3,350",111,154,0.30,0.14,2.2,,0.4,556,Dfc,snow,,"Nanson, 1980; Hickin and Nanson, 75; Ft St. John, 1961- 2007"
Beatton,6,Beatton,Britisch Columbia,Canada Foreland,Canada,NA,Mackenzie Tributive,57.256,-121.429,Holocene,cut-off,Single Thread,Lateral - Translation,1,2060,60,0.130,9,0.460,810,1620,1796,750,1500,810,750,7,231,214,0.93,maximum,,7,,,"3,350",115,150,0.30,0.14,2.2,,0.4,556,Dfc,snow,,"Nanson, 1980; Hickin and Nanson, 75; Ft St. John, 1961- 2007"
