Name;L_Bar;W_Bar;W_Estuary;L_Estuary;BED;Mean_D;TR
Netarts Bay;0.4;0.18;0.49;6;0.97;0.412037037;2
Netarts Bay;1.04;0.56;0.88;6;3.13;0.412037037;2
Netarts Bay;0.8;0.11;0.95;6;2;0.412037037;2
Netarts Bay;1.21;0.96;1.06;6;1.905;0.412037037;2
Gannel estuary;0.28;0.08;0.12;1.89;0.61;0.711327519;4.48
Gannel estuary;0.33;0.1;0.14;1.89;0.975;0.711327519;4.48
Nyfer estuary;0.16;0.03;0.14;1.91;1.69;0.8;2.74
Parrett estuary;0.36;0.05;0.12;17.41;12.68;1.207083333;7.52
Parrett estuary;0.58;0.07;1.13;17.41;13.99;1.207083333;7.52
Parrett estuary;0.2;0.03;0.07;17.41;15.78;1.207083333;7.52
Parrett estuary;0.26;0.05;0.1;17.41;16.26;1.207083333;7.52
Dart estuary;1.02;0.23;0.9;14;6.81;1.25575;2.86
Dart estuary;0.7;0.13;0.9;14;6.65;1.25575;2.86
Dart estuary;1;0.11;0.41;14;8.8;1.25575;2.86
Teign estuary;0.74;0.4;0.55;6.9;0.51;1.25575;2.64
Teign estuary;1.14;0.32;0.58;6.9;1.89;1.25575;2.64
Loughor estuary;1.52;0.31;3.12;16;3.76;1.892083333;5.48
Loughor estuary;3.3;0.89;3.26;16;5.25;1.892083333;5.48
Loughor estuary;1.78;1.25;3.13;16;6.39;1.892083333;5.48
Loughor estuary;2.83;0.77;1.74;16;7.815;1.892083333;5.48
Loughor estuary;2.1;1.54;2.95;16;1.15;1.892083333;5.48
Loughor estuary;1.86;0.51;2.95;16;1.23;1.892083333;5.48
Loughor estuary;1.14;0.18;3.12;16;4.1;1.892083333;5.48
Loughor estuary;4.16;0.92;2.07;16;7.28;1.892083333;5.48
Loughor estuary;0.59;0.4;2.07;16;6.295;1.892083333;5.48
Loughor estuary;0.63;0.16;3.27;16;4.315;1.892083333;5.48
Broad river estuary (USA);3.8;0.2;1.38;40.7;13;5.231481481;2.23
Broad river estuary (USA);1.5;0.39;1.56;40.7;32.75;5.231481481;2.23
Broad river estuary (USA);2.3;0.4;2.05;40.7;28.15;5.231481481;2.23
Broad river estuary (USA);2.03;0.25;2.9;40.7;7.715;5.231481481;2.23
Broad river estuary (USA);3.53;1.64;5.29;40.7;8.865;5.231481481;2.23
Glaslyn estuary;1.22;0.52;1.04;8.66;0.78;5.972283333;3.04
Glaslyn estuary;0.45;0.14;1.08;8.66;0.495;5.972283333;3.04
Glaslyn estuary;1.57;0.51;1.41;8.66;2.265;5.972283333;3.04
Glaslyn estuary;0.37;0.2;1.35;8.66;1.625;5.972283333;3.04
Glaslyn estuary;0.4;0.22;0.35;8.66;4.58;5.972283333;3.04
Poole estuary;2.26;0.2;1.01;10.7;2.38;6.090416667;0.86
Poole estuary;1.73;0.23;1.4;10.7;3.175;6.090416667;0.86
Camel estuary;1.28;0.46;0.77;9.02;2.62;6.117416667;4.68
