id,x,y,thickness,net_sand,skew_GR,kurtosis_GR,skew_RES,kurtosis_RES,facies
0,1813,4989,26.5,0,0.314331334,1.910838637,-0.042461511,1.875628832,3
1,8303,8029,24,0,-0.042424357,1.975167473,-0.06562058,1.863227583,3
2,5466,5610,34.5,12,-0.280129284,1.922641583,0.172156348,1.979141646,1
3,19428,11688,19,0,0.239273037,2.165362458,-0.098290805,1.86895143,3
4,-44,632,35,10.5,0.353097041,2.46186425,-0.203916269,1.693184968,2
5,7497,2674,30.25,0,-1.091234989,4.055584777,0.494443185,2.160981597,4
6,4700,9776,18.5,0.5,-0.154902958,1.786283674,0.086069243,1.725967583,1
7,5806,7553,14,0,-0.000236943,1.859244175,-0.006163271,1.800419529,1
8,9654,7254,32,16,-0.372863721,1.648643402,0.276104192,1.756299759,1
9,278,3857,32,11,0.761365606,2.31662526,-0.240088057,1.865391614,2
10,13952,12060,39.5,29,0.113641604,2.021169209,0.431442912,1.788330595,1
11,2742,7691,23,0,0.105117682,2.129906662,-0.122777541,1.802814875,3
12,13126,3656,26.5,0,-1.112071759,3.851469235,0.563652863,2.336779935,4
13,13857,6573,32,2.5,0.037453587,1.737984351,-0.227483688,1.935707631,2
14,16665,1770,32.5,3.5,0.117553147,1.949526053,-0.167915342,1.913413374,2
15,5771,10165,33,30.5,-0.21716641,1.514328403,0.243441188,1.653704246,1
16,12332,8775,38,3,0.004973135,1.808621377,-0.156500852,1.842508092,1
17,12749,11090,33,23,-0.349347339,2.022448143,0.81108575,2.334594773,1
18,7373,5985,31,0,-1.128900476,3.943131185,0.60135846,2.157945271,4
19,11048,3557,17.5,0,-0.382108406,2.58897753,0.436241656,1.709371948,4
20,3113,8629,27,13,0.265359947,2.099194004,-0.194385217,1.767773975,2
21,12284,10693,38.5,24.5,-0.02787467,1.482881281,-0.070347741,1.392130102,1
22,13405,12471,37,27.5,0.18187612,1.985071288,0.664487053,2.05510793,1
23,16189,10832,21.5,0,0.218146816,1.864814,-0.214584685,1.89410331,3
24,14740,2745,20,0,-0.217459127,1.933296402,-0.034610759,1.869905706,3
25,11441,7018,29,8,-0.030016155,1.947052116,-0.094662948,1.710972116,1
26,9923,10327,34.5,13.5,0.310664048,1.900748971,0.359479526,2.081233738,1
27,11693,3321,31,17,0.098117692,1.952521171,-0.189294317,1.867577059,2
28,11418,3315,29.5,0,-0.624250674,2.66256184,0.249535241,1.763742772,4
29,12265,3293,24.243,0,-0.815584621,2.494450949,0.182670313,2.014735832,4
30,18410,9424,21.5,5.5,0.133397508,2.019025867,-0.356375627,2.175263456,2
31,-626,9819,41,5.5,0.966206555,2.705214623,-0.300948057,2.071549958,2
32,8116,3912,28,0,-1.176844937,3.676678636,0.609614023,2.331232786,4
33,9393,3783,33,0,0.083765849,1.885328902,-0.132475251,1.826031839,3
34,12940,3262,29.5,0,0.059486689,1.953289803,-0.0900849,1.738416986,3
35,7242,-2420,35.5,7,0.120048629,2.097884183,-0.150988394,1.720829203,2
36,13758,-1279,24,0,0.297211477,2.216619343,-0.123754831,1.858275394,3
37,6063,7203,25.5,10,0.275803146,2.082182677,-0.336735406,1.975932452,2
38,5002,7751,22.5,11,-0.279439566,1.85068678,0.098059132,1.798346982,1
39,17769,8911,17.5,0,0.191254214,2.022859114,-0.12002314,1.82495888,3
40,6698,9617,27.5,19,0.39698195,1.647243287,0.831889097,2.382501189,1
41,6785,9309,30.5,26,0.268411233,1.638663,0.668936552,2.043667873,2
42,22165,11461,14.5,0,-0.069036142,2.031767527,-0.005353836,1.819634807,3
43,17995,5750,11.5,0,-0.486092248,2.181156369,-0.057651403,1.796192743,3
44,6767,8542,15.5,0,0.030129164,1.769224157,-0.05673646,1.814899076,3
45,5532,7923,17.5,0,0.07813182,1.733856422,-0.004155842,1.7939509,1
46,6331,7725,24.5,5.5,0.690396851,2.472806244,-0.391120452,2.100599843,2
47,14719,5340,31,0,-0.039931482,1.751704526,-0.093166516,1.833312958,3
48,7149,8817,20,0,-0.246753133,2.20048662,-0.056054978,1.774223128,3
49,7797,9647,25.5,24,-0.049374314,1.668532295,0.124610294,1.657296414,1
50,9836,7200,36.5,32,0.075200311,1.489715893,0.44771465,1.826360358,1
51,10617,7897,36.5,27,0.309942194,1.973235803,0.623626976,2.316000494,1
52,12548,8538,36.5,29,-0.040549783,1.841677552,0.137737724,1.722380367,1
53,12430,9722,27.5,17.5,0.411927008,1.952265701,0.711377472,2.095380408,1
54,12007,8557,35.5,29,-0.650825866,2.435913326,0.765332041,2.343044318,1
55,12214,9064,25.5,14.5,-0.561121065,2.603981352,0.817476251,2.772223625,1
56,11997,8328,43,35.5,-0.557500417,2.601376223,0.621887051,2.059209116,1
57,20352,8226,17,0,0.178083034,2.321334976,-0.286271711,2.025680366,3
58,13094,7935,16.5,10,-0.352396224,1.82463283,0.526657138,2.09256814,1
59,10704,9809,27.5,11,-0.347483364,1.788909035,0.416266841,2.116031353,1
60,13160,11231,31,25,0.025131651,1.74505312,0.583064509,2.074159293,1
61,12778,7107,37.5,0,0.024612003,1.8323574,-0.04683059,1.825901703,3
62,11208,8733,33.5,24,0.744990649,2.368805302,0.690900249,2.110792453,1
63,16634,2341,27.5,0,0.043684692,1.914854352,-0.132819314,1.795357876,3
64,21294,6163,16.5,0,-0.02731271,1.830740127,-0.04783733,1.781752125,3
65,6676,7650,30.5,5,0.366967639,1.807184333,-0.201651362,1.913946013,2
66,11537,10204,34.5,30,0.305555238,1.719054623,0.343669472,1.702014137,1
67,12354,11097,30.5,20.5,-0.27275417,1.72061631,0.222637821,1.453619418,1
68,14724,7739,30.5,0,0.166149209,1.71808311,-0.125055871,1.867412708,3
69,6062,10789,22,0,0.039827154,1.935424488,-0.00596761,1.796503874,1
70,17072,1172,32.5,0,0.06900559,2.028248968,-0.060910027,1.760852778,3
71,15730,7763,22.5,0,0.348126096,1.847026651,-0.167765109,1.91998814,3
72,14208,8998,38,26.5,-0.386529241,2.175759078,0.476418792,1.908924491,1
73,15442,4466,30.5,0,0.180966183,1.69735914,-0.07227381,1.886506852,3
74,13703,8439,36.5,28.5,-0.289060045,1.88638392,0.257615404,1.630884701,1
75,11795,4937,30.5,13,0.088071165,1.901930209,-0.340043876,2.057667433,2
76,5891,10447,31,31.5,-0.14585156,1.693319959,0.016173496,1.757842757,1
77,13693,9550,34,22.5,-0.135331018,2.543111891,0.733990296,2.212759667,1
78,13145,9435,49,40,0.328207799,2.365341239,0.519899068,1.83627335,1
79,5616,9826,15.5,0,0.083585495,1.712586222,0.064396073,1.850711825,1
80,7079,10137,29,23.5,-0.466873811,1.530172863,0.527059448,1.847366482,1
81,12394,7898,38,0,0.06469241,1.791829492,-0.068063756,1.837110976,3
82,10854,8859,31,6,-0.07092816,2.032486755,0.107791146,2.096795959,1
83,10576,11019,23.5,10.5,-0.412268167,1.978502693,0.366785639,2.019169495,1
84,12847,9040,38,25.5,-0.104671577,2.089050105,0.809503824,2.552450358,1
85,12838,8755,31,2,0.028263987,1.864068559,0.071612359,1.80040767,1
86,9941,9409,35.5,24,-0.415771794,1.717374716,0.792648337,2.257916306,1
87,9358,10478,22.5,16,0.326157248,1.736437845,0.369339115,1.718870118,1
88,9649,6362,35.5,25,0.928063094,2.764018063,0.996412976,2.937615012,1
89,13959,10103,25,0,0.349787008,2.023237455,-0.134623896,1.873611253,3
90,7059,4969,37.5,0,-0.978942097,2.752922966,0.164210166,2.100250708,3
