H,RH,T,WD,WS,Precip,SR,PM1,HOD,DOW,MOY,Time
63.46878052,93.65,12.12972412,138.4855753,3.088766217,NaN,NaN,NaN,1,7,1,1/1/2017 0:00
63.28060532,93.65,11.449823,137.3378799,2.875111098,NaN,NaN,NaN,2,7,1,1/1/2017 1:00
63.10532379,93.65,10.82827148,133.226695,2.686910284,NaN,NaN,NaN,3,7,1,1/1/2017 2:00
62.94845581,93.625,10.27105103,126.8083815,2.600430485,NaN,NaN,NaN,4,7,1,1/1/2017 3:00
62.82872772,93.6,9.747247314,121.9593127,2.614257959,NaN,NaN,NaN,5,7,1,1/1/2017 4:00
62.72683716,93.6,9.310418701,121.8228918,2.670284896,0,-2.33E-10,NaN,6,7,1,1/1/2017 5:00
62.65084839,100,8.985559082,124.7291682,2.739316947,0,-2.33E-10,NaN,7,7,1,1/1/2017 6:00
62.60582733,100,8.745904541,128.5391241,2.773652386,0,4287.255352,NaN,8,7,1,1/1/2017 7:00
62.57757187,93.6,9.485223389,131.8392686,3.059986316,0,271947.3763,NaN,9,7,1,1/1/2017 8:00
62.68444824,84.95,11.0229126,133.6386955,3.656777227,0,794135.0783,NaN,10,7,1,1/1/2017 9:00
71.78147888,77.29,13.10518799,130.9301884,2.647620751,0,1298271.179,NaN,11,7,1,1/1/2017 10:00
670.7972412,72.74,16.96453247,141.6621246,3.671067977,0,1657813.951,NaN,12,7,1,1/1/2017 11:00
1064.573486,68.59,19.61004028,143.6591911,3.805409031,0,1836163.774,NaN,13,7,1,1/1/2017 12:00
1301.044678,54.83,20.77559814,140.9135563,3.034684544,0,1612459.302,NaN,14,7,1,1/1/2017 13:00
1449.025879,53.03,21.31139526,134.7691041,2.346591122,0,1512002.14,NaN,15,7,1,1/1/2017 14:00
1472.99353,53.03,21.46636353,124.4338163,1.845808587,0,1078357.544,NaN,16,7,1,1/1/2017 15:00
1272.481689,54.705,21.16970215,109.0978126,1.362826615,0,671519.5752,NaN,17,7,1,1/1/2017 16:00
521.0930176,60.21,20.0312439,84.8030478,1.03297446,0,198116.3263,NaN,18,7,1,1/1/2017 17:00
64.73056793,65.885,19.00420532,65.810728,1.115571881,0,90.25800742,NaN,19,7,1,1/1/2017 18:00
64.59823608,67.95,18.3180481,48.90641,1.122643075,0,-2.33E-10,NaN,20,7,1,1/1/2017 19:00
64.47460938,79.82,17.73354492,29.1479937,1.096877689,0,-2.33E-10,NaN,21,7,1,1/1/2017 20:00
64.34196472,77.14,17.16863403,8.17067738,1.124860896,0,-2.33E-10,NaN,22,7,1,1/1/2017 21:00
64.21473694,82.25,16.5894104,354.8465943,1.250028704,0,-2.33E-10,NaN,23,7,1,1/1/2017 22:00
64.08161926,84.93,15.9132019,347.9275938,1.471725851,0,-2.33E-10,NaN,24,7,1,1/1/2017 23:00
63.92118073,87.74,15.09438477,345.8720036,1.741494268,0.00E+00,-2.33E-10,NaN,1,1,1,1/2/2017 0:00
