official_n,test_type,latitude,longitude,x,y,geologic_unit,geologic_ID,cohesion,friction_angle,Vs30_Mean,slope_angle,aspect,elevation,flowline_curvature,general_curvature,plan_curvature,profile_curvature,total_curvature
A-TSEC_F7265-80_1,Direct Shear,34.147506,-118.590343,353383,3779654,Tsh,14,7.2,28,385.1,11.40458965,69.91389465,340.1577148,7.05787E-05,0.004469865,0.013357209,-0.000432784,1.34881E-05
ACEC_127001_TP1,Direct Shear,34.041081,-118.641577,348469,3767926,Tv,16,17.76,19,518.9,17.92365837,223.7032471,116.3925476,-0.000727753,-0.02342825,-0.013017053,-0.006463424,0.000170813
ACEC_127001_TP2,Direct Shear,34.041085,-118.64151,348475,3767927,Tv,16,52.8,31,518.9,21.32731628,220.8466492,118.476265,-0.000341109,-0.040145192,-0.025920236,-0.00804461,0.000211483
ACEC_127001_TP2,Direct Shear,34.041085,-118.64151,348475,3767927,Tv,16,34.56,28,518.9,21.32731628,220.8466492,118.476265,-0.000341109,-0.040145192,-0.025920236,-0.00804461,0.000211483
ADECI_BG-136-90_BC,Direct Shear,34.142619,-118.528552,359072,3779025,crystalline,3,43.2,37.5,710.1,21.49607658,64.44160461,350.5632629,0.006030464,-0.005611861,0.029303428,-0.011556225,0.003362371
ADECI_BG-136-90_BC,Direct Shear,34.142619,-118.528552,359072,3779025,crystalline,3,16.8,38,710.1,21.49607658,64.44160461,350.5632629,0.006030464,-0.005611861,0.029303428,-0.011556225,0.003362371
ADECI_BG-136-90_BC,Direct Shear,34.142619,-118.528552,359072,3779025,crystalline,3,26.4,36,710.1,21.49607658,64.44160461,350.5632629,0.006030464,-0.005611861,0.029303428,-0.011556225,0.003362371
ADECI_BG-136-90_BC,Direct Shear,34.142619,-118.528552,359072,3779025,crystalline,3,31.2,40,710.1,21.49607658,64.44160461,350.5632629,0.006030464,-0.005611861,0.029303428,-0.011556225,0.003362371
ADECI_BG-136-90_BC,Direct Shear,34.142619,-118.528552,359072,3779025,crystalline,3,24,44,710.1,21.49607658,64.44160461,350.5632629,0.006030464,-0.005611861,0.029303428,-0.011556225,0.003362371
ADECI_BG-136-90_BC,Direct Shear,34.142619,-118.528552,359072,3779025,crystalline,3,26.4,37,710.1,21.49607658,64.44160461,350.5632629,0.006030464,-0.005611861,0.029303428,-0.011556225,0.003362371
AES_90-358-02_TP,Direct Shear,34.182042,-118.659627,347057,3783585,Tsh,14,43.2,29,385.1,12.26637363,108.4005127,313.3051758,0.000323668,-0.053465519,-0.070041917,-0.01073415,0.000458017
AES_90-358-02_TP,Direct Shear,34.182042,-118.659627,347057,3783585,Tsh,14,20.16,30,385.1,12.26637363,108.4005127,313.3051758,0.000323668,-0.053465519,-0.070041917,-0.01073415,0.000458017
AES_90-358-02_TP,Direct Shear,34.182042,-118.659627,347057,3783585,Tsh,14,23.04,30,385.1,12.26637363,108.4005127,313.3051758,0.000323668,-0.053465519,-0.070041917,-0.01073415,0.000458017
