Depth,Vp,Vs,Vp/Vs,Ip,Por,Vclay,Face
1740.1033,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1740.2556,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1740.4081,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1740.5604,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1740.7128,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1740.8652,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1741.0176,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1741.17,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1741.3224,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1741.4749,2.2813588,1.0596773,2.152880693,4.855839582,31.42,0.3915,1
1741.6272,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1741.7797,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1741.932,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.0845,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.2368,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.3893,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.5416,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.694,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.8464,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1742.9988,2.2368143,1.0138537,2.20624958,4.751260201,31.38,0.4955,1
1743.1512,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1743.3036,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1743.4561,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1743.6084,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1743.7609,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1743.9132,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1744.0657,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1744.218,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1744.3704,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1744.5228,2.2555859,1.0331922,2.183123237,4.795514116,31.39,0.4518,1
1744.6752,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1744.8276,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1744.98,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1745.1324,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1745.2848,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1745.4373,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1745.5896,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1745.7421,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1745.8944,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1746.0469,2.1968433,0.97177934,2.260640054,4.658044398,31.33,0.5905,2
1746.1992,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1746.3516,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1746.504,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1746.6564,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1746.8088,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1746.9612,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1747.1136,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1747.266,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1747.4185,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1747.5708,2.3420786,1.1216815,2.088006801,4.996980676,31.51,0.256,1
1747.7233,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1747.8756,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.0281,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.1804,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.3328,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.4852,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.6376,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.79,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1748.9424,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1749.0948,2.2545098,1.0319959,2.184611199,4.793244072,31.38,0.4549,1
1749.2472,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1749.3997,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1749.552,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1749.7045,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1749.8568,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1750.0093,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1750.1616,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1750.314,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1750.4664,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1750.6188,2.3353756,1.1147526,2.094972104,4.981760642,31.49,0.2708,1
1750.7712,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1750.9236,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.076,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.2284,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.3809,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.5332,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.6857,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.838,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1751.9905,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1752.1428,2.2347109,1.0114919,2.209321597,4.7468368,31.36,0.5016,2
1752.2952,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1752.4476,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1752.6,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1752.7524,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1752.9048,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1753.0573,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1753.2096,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
1753.3621,2.130114,0.89782105,2.372537378,4.506487284,31.14,0.75,2
