concentration,Salinity,Hardness,Temperature,mu_w,mu_zero,lampda,n
500,1000,0,25,0.8903,10.9523954,0.310985863,0.716148248
1000,1000,0,25,0.8903,52.12522469,1.302137927,0.653346712
1000,1000,0,25,0.8903,34.17431982,0.346512551,0.652562866
1000,5000,0,25,0.8903,11,0.13,0.692
1000,10000,0,25,0.8903,7.325463834,0.124994113,0.798586729
1000,20000,0,25,0.8903,6.191743907,0.230949468,0.836585826
1000,40000,0,25,0.8903,6.064611456,0.677504631,0.862059112
3000,1000,500,25,0.8903,75.47074088,0.770952704,0.660689848
3000,1000,1000,25,0.8903,44.38846602,0.380491025,0.684930138
3000,1000,1500,25,0.8903,30.96363164,0.241942358,0.699493463
2000,10000,0,25,0.8903,26.580753,0.423747001,0.735661842
2000,10000,0,50,0.5468,15.6342775,0.219064123,0.737368971
2000,10000,0,70,0.405,11.17411475,0.176772036,0.753515953
500,10000,0,25,0.89837855,3.18294335,0.076372723,0.834725314
3000,10000,0,25,0.89837855,77.95164203,1.082671945,0.687057323
500,40000,0,25,0.89837855,2.563733699,0.067050646,0.867033771
3000,4000,0,25,0.89837855,30.05473824,0.335975937,0.748777793
2000,5000,0,25,0.89837855,46.34110275,0.656250223,0.686912456
2000,20000,0,25,0.89837855,19.32406336,0.36622542,0.767886183
2000,40000,0,25,0.89837855,17.0899472,0.422403514,0.783950654
3000,10000,0,25,0.89837855,77.90615758,1.059582394,0.689972389
3000,20000,0,25,0.89837855,47.39088106,0.575148649,0.705469549
3000,10000,0,25,0.89837855,78.47464846,1.018053004,0.686438266
3000,10000,500,25,0.89837855,52.70497254,0.525401802,0.691301912
3000,10000,1000,25,0.89837855,42,0.423747001,0.7
3000,10000,1500,25,0.89837855,36.39317991,0.498760324,0.73557335
3000,40000,1000,25,0.89837855,31.04630003,0.289381685,0.731427121
