tb1,B1,tb2,B2,tb3,B3,tb4,B4,tb5,B5,tb6,B6,tb7,B7,tb8,B8,tb9,B9,tb10,B10,tb11,B11,tb12,B12,tb13,B13,ts1,S1,ts2,S2,ts3,S3,ts4,S4,ts5,S5,ts6,S6,ts7,S7,ts8,S8,ts9,S9,ts10,S10,ts11,S11,ts12,S12,ts13,S13,ts14,S14,ts15,S15
0.02,2.13,0.5,0.1,0.07,8.51,0.03,0.1,0.3,1.01,0.25,0.95,0.25,2.06,0.25,1.03,0.3,1.22,0.75,0.36,0.1,0.1,0.25,0.1,0.25,0.1,0.5,2.33,0.75,0.1,1,0.6,0.08,0.65,1,0.22,1,1.43,1,1.32,0.5,0.5,1,0.75,1,1.35,1,1.32,0.5,1.95,12,0.1,6,0.1,12,0.1
0.03,6.38,0.7,1.2,0.09,10.64,0.08,1.2,0.5,3.02,0.5,3.81,0.5,6.19,0.5,3.09,0.5,2.44,1,0.72,0.5,0.5,0.5,0.96,0.5,0.73,1,4.65,1.5,2.5,2,2.38,0.17,1.26,3.75,2.22,3.5,4.29,8.05,3.95,1,1,2.5,2.5,5.5,5.41,2,2.63,2,6.1,24,1.282,12,0.5,24,1.667
0.07,14.89,1,3,0.14,12.77,0.25,6.02,0.8,5.03,1,7.62,0.75,10.31,1,7.22,1,6.1,1.25,1.44,4.25,1,1,2.88,1.5,2.93,5.75,9.3,3.5,5,4,4.76,0.33,1.73,10,5.56,30.5,8.57,20.5,7.89,1.5,2.1,2.75,3.75,9,8.11,3,3.95,3,7.32,48,2.564,30,1.25,72,3.333
0.27,27.66,2,13.19,0.18,14.89,0.69,16.87,1,7.04,1.25,9.52,1,13.4,2,17.53,2,15.85,1.5,2.16,5.25,1.67,1.5,4.81,3,3.67,9,11.63,10,7.5,6,5.96,0.83,1.97,22,6.67,41.5,10,24,7.89,2.5,4.2,3.5,4.38,23,10.81,9,5.26,3.5,8.54,120,5.128,48,2.5,96,5
0.49,31.91,2.5,17.99,0.36,17.02,1,24.1,1.5,12.06,1.5,11.43,1.5,17.53,5,25.77,5,26.83,4.25,4.33,10.25,2.67,2.5,9.62,5,4.4,21,13.95,30,10,14,7.14,1.83,2.11,24,6.67,64.5,11.43,34.5,9.21,9.5,7.3,4.5,5,40,12.16,13,7.89,11.5,12.2,240,7.692,120,6.25,144,6.667
1.19,35.11,2.8,19.19,0.68,20.21,1.77,39.76,2.8,27.14,2.5,17.14,2,21.65,15,32.99,11.5,32.93,5.25,5.77,12.75,3.33,4,17.31,10,7.33,30.5,13.95,36.5,11.25,38,8.33,7.58,2.12,34.5,7.78,98.5,12.86,44.5,10.53,20,8.3,8.5,7.5,75,13.51,31,9.21,23.5,13.41,576,8.974,192,7.5,264,8.333
1.65,36.17,3,20.38,1,21.28,2.1,42.17,5,35.18,3,20,2.5,24.74,19.5,34.02,13,33.54,6.25,6.49,20.75,7.33,5,21.15,14,8.8,100,15.12,100.5,13.75,78,9.52,17.33,4.51,44.5,7.78,,,67,11.84,38,9.4,20.5,10,,,51,10.53,47.5,14.63,1320,10.256,252,8.75,312,8.333
2.5,38.3,4.5,28.78,2,23.4,2.42,43.37,10,39.2,3.5,21.9,3,26.8,27,35.05,16,34.15,18.25,10.09,24.75,9,6,24.04,22,12.46,240,15.12,,,,,19.33,4.78,67,8.89,,,73,12.5,55,10.4,46.5,12.5,,,75,11.84,,,,,1404,10,600,9.667
4.17,39.36,5,29.98,4,24.47,4.2,45.78,12,39.2,4,23.81,3.5,28.87,50.5,38.14,38,36.59,21.75,10.82,30.75,13,10,34.62,28,16.13,,,,,,,21.58,6.93,94,9.56,,,94,13.16,71,11.5,96.5,13.75,,,99,13.16,,,,,,,1176,10
8.69,40.43,6,32.38,12.21,25.53,5.9,46.99,27,41.21,11,33.33,4,29.9,71.5,39.18,44,37.2,34,18.03,47,26.33,18,42.31,30,16.86,,,,,,,26.58,7.6,118,10,,,,,119,12.5,,,,,,,,,,,,,1464,10
12.62,41.49,6.8,33.57,29,26.6,6.45,48.19,31,42.21,12,34.29,14.5,38.14,94.5,36.69,94,38.41,49.25,28.84,52.5,28.33,23,44.23,31.5,18.33,,,,,,,27.33,7.88,,,,,,,143,13,,,,,,,,,,,,,1560,10
15.75,42.55,9,35.97,40,26.6,8.65,49.4,55,42.21,16,36.19,17,39.18,119,40.21,115,39.02,60,33.89,73.5,38.67,28.5,45.19,37.75,24.93,,,,,,,30.33,3.78,,,,,,,191,13.5,,,,,,,,,,,,,1680,10
20.75,42.55,13,37.17,43,26.6,11,49.4,75,42.21,19.75,38.1,21.75,40.21,143.5,40.46,158.5,39.63,90.25,39.66,96.5,43.33,52.5,47.12,40,27.86,,,,,,,31.83,5.63,,,,,,,,,,,,,,,,,,,,,1682,11.667
63.75,43.62,17.5,37.17,48,26.6,14,50.6,240,43.22,36.25,40.95,36.25,41.24,167.5,40.72,189.5,40,114.25,42.54,118,46,95.5,47.6,48.5,32.99,,,,,,,55.83,5.65,,,,,,,,,,,,,,,,,,,,,1685,11.667
255.75,44.68,26.1,37.77,91,26.6,18.25,51.81,,,48,41.9,48,42.27,239,41.03,233,40.24,162.25,45.43,120.5,46.67,119,47.6,49.5,33.72,,,,,,,79.83,5.65,,,,,,,,,,,,,,,,,,,,,1750,13.333
,,35,37.77,283,26.81,31.25,53.01,,,58.25,42.86,65.25,42.27,263,41.24,290.5,40.85,186.25,46.16,145.5,48,436,48.08,51,34.46,,,,,,,105.33,5.65,,,,,,,,,,,,,,,,,,,,,,
,,53.5,37.77,500,27.02,53.25,53.01,,,65.25,43.81,82.25,42.27,311,41.24,314.5,40.85,234.25,47.59,165.5,48.67,,,52.5,35.19,,,,,,,115.33,5.65,,,,,,,,,,,,,,,,,,,,,,
,,77.5,37.77,750,27.66,77.25,53.01,,,82.25,44.76,300,42.78,335,41.24,500,41.46,258.25,47.59,198.5,50,,,57.5,36.66,,,,,,,125.33,8.91,,,,,,,,,,,,,,,,,,,,,,
,,437.5,38.37,,,100,53.61,,,156.25,46.19,,,500,41.75,,,306.25,47.95,267.5,50.67,,,72,39.59,,,,,,,139.33,10,,,,,,,,,,,,,,,,,,,,,,
,,600,38.37,,,250,53.61,,,280.25,46.67,,,,,,,450,48.31,286.5,50.67,,,76,40.32,,,,,,,163.33,12.17,,,,,,,,,,,,,,,,,,,,,,
,,750,38.37,,,437.25,54.22,,,500,46.95,,,,,,,,,435.5,51,,,81.5,41.06,,,,,,,187.33,13.26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,86,41.79,,,,,,,211.33,13.91,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,99,43.26,,,,,,,235.33,14.35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,106,43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,161,46.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,187,46.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,215,47.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,354,48.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,396,48.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,516,49.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
