Na,Cl,Ca,Mg,S(6),pH,m_Ca+2,m_CaSO4,m_CaOH+,m_CaHSO4+,m_Cl-,m_Na+,m_NaSO4-,m_NaOH,m_SO4-2,m_Mg+2,m_MgSO4,m_MgOH+,m_HSO4-,la_H+
0.61841,0.41919,0.037466,0.16399,0.30107,-6.002624219,0.021701,0.015765,3.25E-09,5.60E-08,0.41919,0.55426,0.064143,9.40E-19,0.13347,0.076299,0.087693,3.43E-07,8.69E-07,-6.4692
0.82973,1.007,0.047352,0.29169,0.25041,-7.98218312,0.035227,0.012125,7.47E-09,2.80E-08,1.007,0.78,0.04973,1.87E-18,0.081665,0.1848,0.10689,1.46E-06,2.52E-07,-6.6554
0.61558,0.81409,0.26751,0.058615,0.22687,-9.258578021,0.1917,0.075803,1.98E-06,3.70E-09,0.81409,0.57521,0.040373,6.73E-17,0.087563,0.035474,0.023128,1.27E-05,6.28E-09,-8.3324
0.35666,0.70116,0.076716,0.16034,0.064809,-6.447881262,0.0682,0.008516,7.80E-09,3.97E-08,0.70116,0.34972,0.0069496,4.53E-19,0.0229,0.1339,0.026443,4.59E-07,1.96E-07,-6.3515
0.47422,0.51879,0.14332,0.022184,0.14322,-5.528975372,0.10267,0.040648,5.61E-09,4.03E-07,0.51879,0.44724,0.026984,2.76E-19,0.067119,0.013716,0.0084681,2.15E-08,1.33E-06,-6.0209
0.22569,0.61749,0.17979,0.041782,0.02567,-7.249704127,0.16971,0.010082,4.67E-08,1.99E-08,0.61749,0.22367,0.0020203,6.96E-19,0.010028,0.038241,0.0035403,3.02E-07,3.96E-08,-6.7217
0.25347,0.68409,0.10415,0.16235,0.051192,-5.683736587,0.095152,0.009,3.81E-09,1.20E-07,0.68409,0.24972,0.0037553,1.13E-19,0.017316,0.14123,0.02112,1.70E-07,4.24E-07,-5.8951
0.22137,0.27599,0.082121,0.046712,0.10153,-6.070980629,0.058436,0.023685,9.54E-09,8.45E-08,0.27599,0.21045,0.010922,3.79E-19,0.049335,0.029128,0.017584,1.21E-07,4.66E-07,-6.4519
0.66232,1.0605,0.29598,0.10993,0.20681,-6.887344472,0.22982,0.066167,4.45E-08,1.66E-07,1.0605,0.62816,0.034155,1.37E-18,0.070414,0.073862,0.036069,5.50E-07,2.25E-07,-6.6184
0.36183,0.52468,0.092779,0.10642,0.11778,-5.104691801,0.071791,0.020988,1.23E-09,6.70E-07,0.52468,0.3466,0.015232,6.69E-20,0.048325,0.073195,0.033229,3.55E-08,3.14E-06,-5.5128
0.24831,0.21612,0.077206,0.0097827,0.10309,-6.673035455,0.050892,0.026314,2.49E-08,3.18E-08,0.21612,0.23352,0.014798,1.25E-18,0.057741,0.0055493,0.0042333,6.74E-08,1.97E-07,-6.9173
0.36505,0.78748,0.17408,0.16938,0.13225,-9.541302846,0.14326,0.030813,1.10E-06,2.07E-09,0.78748,0.35211,0.012939,3.07E-17,0.044671,0.12553,0.043824,3.16E-05,4.78E-09,-8.1944
0.73487,0.8729,0.22903,0.10154,0.26155,-7.803980502,0.16058,0.068447,6.33E-08,8.62E-08,0.8729,0.68203,0.052837,3.04E-18,0.098107,0.059376,0.042163,8.41E-07,1.72E-07,-6.9197
0.48261,0.74369,0.18897,0.05849,0.11693,-9.839558605,0.15281,0.036159,5.88E-06,4.90E-10,0.74369,0.46443,0.018187,2.03E-16,0.046507,0.042364,0.016075,5.12E-05,1.07E-09,-8.8883
0.47532,1.3269,0.29146,0.24118,0.10686,-6.523802029,0.26266,0.028799,2.25E-08,1.58E-07,1.3269,0.46514,0.01018,4.44E-19,0.029134,0.20244,0.038744,7.46E-07,1.77E-07,-6.2733
0.60802,1.184,0.30705,0.1511,0.17018,-5.19530766,0.25386,0.053193,4.67E-09,1.38E-06,1.184,0.58431,0.023717,1.21E-19,0.05327,0.1111,0.039992,8.25E-08,1.66E-06,-5.6005
0.11555,1.1721,0.28824,0.245,0.004958,-7.320552803,0.28679,0.0014549,2.51E-08,8.03E-09,1.1721,0.11543,0.00011283,1.14E-19,0.0012793,0.24289,0.0021109,8.51E-07,8.57E-09,-6.2742
0.45065,0.52917,0.12071,0.054686,0.13614,-6.922866536,0.088703,0.03201,2.81E-08,5.48E-08,0.52917,0.4272,0.023455,1.53E-18,0.060991,0.035,0.019686,3.18E-07,2.08E-07,-6.7841
0.84697,0.49101,0.035157,0.074845,0.28798,-9.067411406,0.020261,0.014895,1.68E-07,9.39E-10,0.49101,0.75601,0.090964,7.12E-17,0.14171,0.034421,0.040416,8.86E-06,1.55E-08,-8.2206
0.33329,0.32047,0.041741,0.087905,0.13606,-9.884912235,0.028204,0.013536,1.33E-06,1.63E-10,0.32047,0.31293,0.02036,1.65E-16,0.065257,0.050938,0.036904,6.31E-05,1.90E-09,-8.929
0.31553,0.99372,0.2029,0.20464,0.068443,-9.560923396,0.18629,0.016609,9.96E-07,1.55E-09,0.99372,0.31052,0.0050131,1.88E-17,0.020398,0.17818,0.026423,3.40E-05,2.68E-09,-8.0492
0.68357,0.68896,0.16929,0.011111,0.17771,-8.037492497,0.12011,0.049179,2.11E-07,1.46E-08,0.68896,0.64013,0.043439,1.27E-17,0.080683,0.0067053,0.0044051,3.70E-07,4.06E-08,-7.5481
0.63903,0.46635,0.083739,0.057569,0.22764,-9.784907535,0.051682,0.032054,2.58E-06,3.43E-10,0.46635,0.58243,0.056595,3.30E-16,0.11058,0.029115,0.028411,4.30E-05,2.24E-09,-8.9894
0.36933,1.1224,0.34098,0.057214,0.021648,-6.804930589,0.33115,0.0098325,4.91E-08,3.27E-08,1.1224,0.3673,0.0020246,6.14E-19,0.0070691,0.054491,0.0027218,3.01E-07,3.12E-08,-6.4973
0.39064,0.70855,0.061457,0.24609,0.14859,-8.266146708,0.049071,0.012386,1.82E-08,1.75E-08,0.70855,0.37497,0.015667,1.57E-18,0.04963,0.17518,0.070911,2.04E-06,1.19E-07,-6.8707
0.1061,0.13728,0.031257,0.030861,0.046529,-5.995560439,0.023408,0.0078485,3.18E-09,3.67E-08,0.13728,0.10263,0.0034653,1.45E-19,0.025236,0.020883,0.0099779,6.58E-08,4.36E-07,-6.3062
0.64249,0.44239,0.145,0.016063,0.26111,-9.76386095,0.085366,0.059627,7.76E-06,3.48E-10,0.44239,0.57808,0.064413,5.96E-16,0.12865,0.007619,0.0084235,2.09E-05,1.37E-09,-9.2531
0.23878,0.58849,0.069175,0.14773,0.042051,-9.655544472,0.06344,0.0057345,7.21E-07,2.76E-10,0.58849,0.23558,0.0032006,3.02E-17,0.014937,0.12951,0.018179,4.17E-05,1.47E-09,-8.3346
0.08571,0.20824,0.069539,0.0099416,0.018217,-9.351616777,0.062758,0.0067785,2.88E-06,9.18E-11,0.20824,0.084734,0.0009758,4.11E-17,0.0091271,0.008597,0.0013352,9.31E-06,4.23E-10,-8.8517
0.69677,0.4553,0.079502,0.029344,0.22958,-8.089666264,0.047893,0.031609,8.10E-08,1.00E-08,0.4553,0.63146,0.065307,1.21E-17,0.11772,0.014395,0.014948,7.19E-07,7.04E-08,-7.5187
0.24749,0.23586,0.043574,0.041736,0.091126,-5.995452141,0.030204,0.01337,4.46E-09,5.37E-08,0.23586,0.23485,0.012639,3.78E-19,0.048644,0.025263,0.016472,9.22E-08,5.58E-07,-6.3947
0.11878,0.18435,0.045057,0.036152,0.048425,-6.485959047,0.035157,0.0099002,9.27E-09,2.32E-08,0.18435,0.11526,0.003516,3.23E-19,0.024569,0.025713,0.010439,1.61E-07,1.93E-07,-6.6151
0.56902,1.2838,0.1528,0.32461,0.12003,-6.181773274,0.13591,0.016887,8.70E-09,1.25E-07,1.2838,0.55548,0.01354,3.98E-19,0.032189,0.2672,0.057412,7.09E-07,2.77E-07,-6.1446
0.41926,1.0229,0.22897,0.20168,0.12884,-6.488820591,0.19621,0.032757,2.13E-08,1.49E-07,1.0229,0.40672,0.012537,4.98E-19,0.039408,0.15754,0.044133,6.30E-07,2.41E-07,-6.3605
0.19416,1.3384,0.44874,0.20195,0.078582,-8.935028476,0.41732,0.031413,4.16E-07,1.47E-08,1.3384,0.19123,0.0029298,2.12E-18,0.020562,0.17826,0.023678,8.00E-06,1.01E-08,-7.3412
0.10222,0.53009,0.033487,0.2101,0.029652,-5.830601962,0.031624,0.0018637,1.50E-09,2.16E-08,0.53009,0.10134,0.00088009,5.43E-20,0.0093875,0.19258,0.017521,2.55E-07,2.30E-07,-5.9511
0.83619,0.94379,0.15581,0.11052,0.21252,-8.296543034,0.11513,0.040676,8.50E-08,2.74E-08,0.94379,0.78595,0.050237,6.56E-18,0.080716,0.069623,0.040895,1.83E-06,7.65E-08,-7.1919
0.49856,1.2293,0.3497,0.16175,0.1461,-9.190827089,0.29944,0.050265,8.02E-07,8.92E-09,1.2293,0.48265,0.015905,1.45E-17,0.04353,0.12534,0.036396,1.39E-05,8.94E-09,-7.7657
0.57329,0.98749,0.12485,0.22778,0.14553,-5.910362636,0.10374,0.021108,6.79E-09,1.61E-07,0.98749,0.55293,0.020355,4.09E-19,0.04649,0.1702,0.057576,3.97E-07,4.99E-07,-6.1382
0.53889,0.72965,0.032851,0.25001,0.18748,-5.596216704,0.024789,0.0080619,1.13E-09,9.16E-08,0.72965,0.51099,0.027896,2.64E-19,0.065524,0.16401,0.085993,2.39E-07,1.23E-06,-5.965
0.34117,0.50037,0.05663,0.11697,0.093993,-6.133361645,0.045392,0.011238,5.37E-09,5.25E-08,0.50037,0.32929,0.011878,4.39E-19,0.038611,0.0847,0.032266,2.77E-07,3.88E-07,-6.3456
0.94344,1.0056,0.0010417,0.35066,0.32063,-5.464431418,0.00073063,0.00031111,2.52E-11,4.37E-09,1.0056,0.87349,0.069956,3.40E-19,0.10348,0.20378,0.14688,2.69E-07,1.87E-06,-5.8707
0.20623,0.88361,0.22432,0.15973,0.045362,-8.269994212,0.21064,0.013683,8.12E-08,1.81E-08,0.88361,0.20391,0.0023138,8.90E-19,0.014006,0.14437,0.01536,1.88E-06,2.82E-08,-6.8985
0.38619,1.1918,0.19279,0.31,0.099959,-6.975224828,0.17445,0.018337,1.54E-08,9.97E-08,1.1918,0.37851,0.007682,3.76E-19,0.026593,0.26265,0.047347,9.33E-07,1.74E-07,-6.2807
0.36665,0.38482,0.022199,0.16542,0.17853,-9.860348422,0.014887,0.0073115,3.78E-07,1.60E-10,0.38482,0.3423,0.024352,9.76E-17,0.075764,0.094247,0.071106,6.57E-05,3.60E-09,-8.675
0.20954,0.31332,0.045047,0.093081,0.086238,-9.99531377,0.034406,0.010639,1.80E-06,1.18E-10,0.31332,0.2015,0.0080395,1.16E-16,0.0382,0.063637,0.029359,8.47E-05,1.11E-09,-8.9593
0.5605,0.79742,0.20268,0.14965,0.23387,-6.750771107,0.14649,0.056197,2.80E-08,1.48E-07,0.79742,0.52494,0.035558,1.14E-18,0.084212,0.091746,0.057902,6.03E-07,3.31E-07,-6.599
0.39082,0.74353,0.20262,0.16778,0.19404,-6.750993753,0.15356,0.04906,2.66E-08,1.45E-07,0.74353,0.37044,0.020372,7.27E-19,0.0672,0.11037,0.057407,6.32E-07,3.13E-07,-6.5491
1.2547,0.68778,0.082727,0.083933,0.45013,-5.888428987,0.045249,0.037478,6.25E-09,1.33E-07,0.68778,1.0877,0.16702,1.69E-18,0.19678,0.035082,0.04885,1.80E-07,9.29E-07,-6.4694
