,Cat,Formulation,Oil
0,0,0.125%#Surf_79#0.125%#Surf_15#,Oil_4
1,1,0.125%#Surf_52#0.125%#Surf_69#,Oil_4
2,1,0.125%#Surf_52#0.125%#Surf_69#,Oil_4
3,1,0.1%#Surf_52#0.1%#Surf_69#,Oil_4
4,0,0.5%#Surf_52#0.5%#Surf_69#,Oil_4
5,0,0.125%#Surf_52#0.125%#Surf_196#0.25%#Surf_68#,Oil_4
6,0,0.125%#Surf_52#0.25%#Surf_196#0.25%#Surf_68#,Oil_4 + 5% Oil_A
7,0,0.075%#Surf_52#0.075%#Surf_196#0.15%#Surf_68#,Oil_4
8,0,0.075%#Surf_52#0.075%#Surf_196#0.15%#Surf_68#,Oil_4 + 5% Oil_A
9,0,0.125%#Surf_207#0.125%#Surf_68#,Oil_4 + 12.5% Oil_A
10,0,0.125%#Surf_207#0.125%#Surf_68#,Oil_4
11,0,0.125%#Surf_28#0.125%#Surf_68#,Oil_4 + 5% Oil_A
12,1,0.15%#Surf_202#0.1%#Surf_69#,Oil_4 + 5% Oil_A
13,0,0.125%#Surf_179#0.125%#Surf_68#0.5%#Cosolv_47#,Oil_4 + 5% Oil_A
14,1,0.125%#Surf_202#0.125%#Surf_68#,Oil_4 + 5% Oil_A
15,1,0.125%#Surf_207#0.125%#Surf_68#,Oil_4 + 5% Oil_A
16,1,0.18%#Surf_202#0.125%#Surf_68#,Oil_4 + 5% Oil_A
17,1,0.125%#Surf_202#0.125%#Surf_68#,Oil_4
18,0,0.1%#Surf_182#0.1%#Surf_68#,Oil_4
19,0,0.08%#Surf_182#0.12%#Surf_68#,Oil_4
20,0,0.12%#Surf_182#0.08%#Surf_68#,Oil_4
21,0,0.05%#Surf_182#0.05%#Surf_68#,Oil_4
22,0,0.5%#Surf_207#0.5%#Surf_69#,Oil_4
23,0,0.5%#Surf_182#0.5%#Surf_69#,Oil_4
24,1,0.15%#Surf_69#0.075%#Surf_213#0.075%#Surf_174#0.5%#Cosolv_47#,Oil_4 + 5% Oil_L
25,0,0.12%#Surf_202#0.06%#Surf_213#0.12%#Surf_69#,Oil_4 + 5% Oil_L
26,1,0.1%#Surf_213#0.1%#Surf_68#0.1%#Surf_174#,Oil_4 + 5% Oil_L
27,1,0.1%#Surf_213#0.1%#Surf_68#0.1%#Surf_174#0.3%#Surf_209#,Oil_4 + 5% Oil_L
28,1,0.1%#Surf_213#0.1%#Surf_68#0.1%#Surf_174#0.3%#Cosolv_43#0.3%#Surf_209#,Oil_4 + 5% Oil_L
29,1,0.1%#Surf_213#0.1%#Surf_68#0.1%#Surf_119#0.3%#Cosolv_42#,Oil_4 + 5% Oil_L
30,1,0.1%#Surf_213#0.1%#Surf_67#0.1%#Surf_174#0.3%#Cosolv_42#,Oil_4 + 5% Oil_L
31,0,0.1%#Surf_174#0.1%#Surf_213#0.1%#Surf_67#1%#Cosolv_42#,Oil_4 + 5% Oil_L
32,1,0.1%#Surf_166#0.1%#Surf_67#0.1%#Surf_197#0.3%#Cosolv_46#,Oil_4 + 5% Oil_L
33,0,0.1%#Surf_166#0.1%#Surf_67#0.1%#Surf_197#0.5%#Surf_209#,Oil_4 + 5% Oil_L
34,1,0.1%#Surf_166#0.1%#Surf_68#0.1%#Surf_197#0.5%#Surf_209#,Oil_4 + 5% Oil_L
35,1,0.1%#Surf_166#0.1%#Surf_17#0.1%#Surf_197#0.5%#Surf_209#,Oil_4 + 5% Oil_L
36,1,0.1%#Surf_214#0.1%#Surf_17#0.1%#Surf_197#0.5%#Surf_209#,Oil_4 + 5% Oil_L
37,1,0.18%#Surf_202#0.12%#Surf_68#,Oil_4 + 5% Oil_L
38,1,0.1%#Surf_214#0.1%#Surf_17#0.1%#Surf_197#,Oil_4 + 5% Oil_L
39,0,0.12%#Surf_202#0.08%#Surf_68#,Oil_4 + 5% Oil_L
40,1,0.09%#Surf_202#0.06%#Surf_68#,Oil_4 + 5% Oil_L
41,1,0.1%#Surf_211#0.1%#Surf_69#0.1%#Surf_197#,Oil_4 + 5% Oil_L
42,1,0.1%#Surf_211#0.1%#Surf_17#0.1%#Surf_197#,Oil_4 + 5% Oil_L
43,1,0.1%#Surf_211#0.1%#Surf_67#0.1%#Surf_197#,Oil_4 + 5% Oil_L
44,1,0.1%#Surf_211#0.1%#Surf_69#0.1%#Surf_197#,Oil_4
45,1,0.1%#Surf_211#0.1%#Surf_67#0.1%#Surf_197#,Oil_4
46,1,0.1%#Surf_211#0.1%#Surf_69#0.1%#Surf_197#,Oil_4 + 5% Oil_L
47,1,0.1%#Surf_211#0.1%#Surf_69#0.1%#Surf_197#,Oil_4 + 5% Oil_L
48,0,0.1%#Surf_211#0.15%#Surf_69#0.1%#Surf_174#,Oil_4 + 5% Oil_L
49,0,0.1%#Surf_211#0.1%#Surf_67#0.1%#Surf_197#,Oil_4 + 5% Oil_L
50,0,0.15%#Surf_213#0.15%#Surf_68#0.5%#Cosolv_47#,Oil_4
51,1,0.25%#Surf_207#0.25%#Surf_68#,Oil_4 + 12.5% Oil_A
52,1,0.18%#Surf_202#0.12%#Surf_69#,Oil_4
53,1,0.15%#Surf_202#0.1%#Surf_17#,Oil_4
54,0,0.125%#Surf_202#0.125%#Surf_15#,Oil_4
55,1,0.18%#Surf_170#0.12%#Surf_69#,Oil_4
56,1,0.18%#Surf_170#0.06%#Surf_69#0.06%#Surf_68#,Oil_4
57,1,0.15%#Surf_202#0.1%#Surf_17#0.3%#Cosolv_46#,Oil_4
58,1,0.18%#Surf_202#0.12%#Surf_68#,Oil_4
59,1,0.15%#Surf_202#0.1%#Surf_17#0.25%#Cosolv_43#,Oil_4
60,0,0.1%#Surf_15#,Oil_4
61,0,0.15%#Surf_157#0.15%#Surf_69#,Oil_4
62,0,0.15%#Surf_157#0.15%#Surf_69#,Oil_4
63,0,0.125%#Surf_157#0.175%#Surf_15#,Oil_4
64,0,0.1%#Surf_150#0.2%#Surf_15#,Oil_4
65,1,0.125%#Surf_207#0.125%#Surf_68#,Oil_4
66,0,0.125%#Surf_207#0.125%#Surf_15#,Oil_4
67,0,0.125%#Surf_37#0.175%#Surf_17#,Oil_4
68,0,0.3%#Surf_37#,Oil_4
69,1,0.125%#Surf_37#0.125%#Surf_17#1%#Cosolv_16#,Oil_4
70,0,0.125%#Surf_52#0.125%#Surf_15#,Oil_4
71,0,0.125%#Surf_52#0.125%#Surf_69#,Oil_4
72,0,0.125%#Surf_52#0.125%#Surf_15#1%#Cosolv_45#,Oil_4
73,0,0.125%#Surf_52#0.1%#Surf_15#,Oil_4
74,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 46.5% Oil_C
75,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 47.92% Oil_J
76,0,0.25%#Surf_69#0.25%#Surf_213#0.5%#Cosolv_47#,Oil_4 + 48.05% Oil_H
