,MW,EACN,Vm,density,TAN,active
Oil_1,230.0,10.0,283.513097072419,0.81125,0.1,0
Oil_1 + 12% Oil_L,194.99057812063,7.71445816832776,238.410455539659,0.817877629063097,0.088,0
Oil_2 + 21% Oil_A,,,,,0.158,0
Oil_2 + 30% Oil_A,,,,,0.14,0
Oil_3,310.0,11.0,353.881278538813,0.876,2.08,1
Oil_3 + 4.98% Oil_L,277.343029810788,9.50101119116809,316.710368488811,0.875699242604954,1.976416,1
Oil_3 + 45.1% Oil_H,282.241115012494,14.5011206290548,340.707336361167,0.82839752741134,1.14192,1
Oil_3 + 6.91% Oil_L,266.464227713373,9.00166288962513,304.327867238026,0.875582739535849,1.936272,1
Oil_3 + 8.36% Oil_H,304.449567376374,11.7000545651421,351.247128122559,0.866767420999791,1.906112,1
Oil_4,430.004439357953,19.4,508.129322727271,0.84625,1.43,1
Oil_4 + 12.5% Oil_A,284.080508473838,12.9021984456733,339.368581954726,0.837085468659373,1.25125,1
Oil_4 + 46.5% Oil_C,221.612701412574,12.5918110916899,281.26800124953,0.787905842214765,0.76505,1
Oil_4 + 47.92% Oil_J,288.420111464648,16.5370084430065,357.696549426676,0.806326233582442,0.744744,1
Oil_4 + 48.05% Oil_H,322.982520938354,18.5462854937712,398.007776810601,0.811498015256247,0.742885,1
Oil_4 + 48.42% Oil_E,343.51714524002,19.7519154588228,423.382023432656,0.811364503515961,0.742885,1
Oil_4 + 5% Oil_A,356.71149349313,16.136361098031,423.366174129168,0.842560212154074,1.3585,1
Oil_4 + 5% Oil_L,363.381071634361,15.7717105936226,428.815453300502,0.847406661391267,1.3585,1
Oil_4 + 7.8% Oil_A,325.630013343048,14.7523434882644,387.420503102798,0.840507951270315,1.31846,1
Oil_5,,,,,0.5,1
Oil_6,230.0,10.3,274.79091995221,0.837,0.1,0
Oil_6 + 20% Oil_A,170.803331921502,7.7428208386277,207.155554477901,0.82451726844584,0.08,0
Oil_6 + 20.5% Oil_B,202.456087292176,9.00911362786219,238.617868660915,0.848453170872435,0.0795,0
Oil_6 + 27% Oil_K,220.513549131641,11.4104039295454,270.45836713457,0.815332694151486,0.073,0
Oil_6 + 37.5% Oil_B,184.166515837104,8.15194570135747,214.598419668391,0.858191388928623,0.0625,0
Oil_6 + 66.8% Oil_K,207.874992460325,12.8897667793989,264.686217457408,0.785363871444403,0.0332,0
Oil_7,258.996426075038,10.9,297.697041465561,0.87,0.1,0
Oil_7 + 13% Oil_L,209.642895050336,7.97173425298695,240.968844885444,0.87,0.087,0
Oil_7 + 33.4% Oil_B,200.506187670508,8.52641282646255,228.233205586828,0.878514531463425,0.0666,0
Oil_7 + 50% Oil_F,241.62649348183,13.6210190707413,295.766121294374,0.816951219512195,0.05,0
Oil_7 + 50% Oil_K,224.677856795851,12.6553842332455,276.551620275462,0.812426470588235,0.05,0
