,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_1,230.0,10.0,283.513097072419,0.81125,0.1,0,138.2619500281799,13.955987098052683,351.59809420645547
Oil_1 + 12% Oil_L,194.99057812063,7.714458168327759,238.410455539659,0.8178776290630971,0.08800000000000001,0,82.56155311309212,13.199927347861735,297.12760354358323
Oil_2 + 21% Oil_A,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.158,0,240.4696836396382,10.912869318169156,375.82317163326275
Oil_2 + 30% Oil_A,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.14,0,239.97065409500235,10.894720267099201,376.43557122080495
Oil_3,310.0,11.0,353.88127853881304,0.8759999999999999,2.08,1,379.7040171263832,13.042843555727687,222.55126525606252
Oil_3 + 4.98% Oil_L,277.343029810788,9.50101119116809,316.710368488811,0.8756992426049541,1.976416,1,328.886265985226,12.894200944571349,188.4301890690889
Oil_3 + 45.1% Oil_H,282.241115012494,14.501120629054801,340.707336361167,0.82839752741134,1.14192,1,332.83977805758695,17.002912357643616,317.4426136842558
Oil_3 + 6.91% Oil_L,266.464227713373,9.00166288962513,304.327867238026,0.8755827395358491,1.9362720000000002,1,311.7907566518216,12.840093544447733,177.26463327537599
Oil_3 + 8.36% Oil_H,304.44956737637403,11.7000545651421,351.247128122559,0.8667674209997909,1.9061119999999998,1,370.8987969794226,13.82931951246626,240.89895700904037
Oil_4,430.00443935795306,19.4,508.12932272727096,0.84625,1.43,1,551.6655532373115,15.638571242693823,443.961418956188
Oil_4 + 12.5% Oil_A,284.080508473838,12.902198445673301,339.368581954726,0.8370854686593729,1.25125,1,327.8262040633908,15.88632789784363,287.9154444089509
Oil_4 + 46.5% Oil_C,221.612701412574,12.591811091689902,281.26800124953,0.787905842214765,0.76505,1,219.67246899898674,19.492226134952695,297.43883702598345
Oil_4 + 47.92% Oil_J,288.420111464648,16.5370084430065,357.69654942667603,0.8063262335824419,0.744744,1,336.6629574272514,18.718258443732132,376.6924508198693
Oil_4 + 48.05% Oil_H,322.982520938354,18.5462854937712,398.00777681060094,0.8114980152562471,0.742885,1,394.68697136795157,18.599825229906443,419.6990902242326
Oil_4 + 48.42% Oil_E,343.51714524002,19.7519154588228,423.382023432656,0.8113645035159609,0.742885,1,427.90099368749736,18.738989689472973,447.65534235663307
Oil_4 + 5% Oil_A,356.71149349313,16.136361098031003,423.36617412916803,0.8425602121540742,1.3585,1,440.33980698523277,15.720235400852335,364.4494305998216
Oil_4 + 5% Oil_L,363.381071634361,15.771710593622599,428.81545330050204,0.8474066613912671,1.3585,1,446.3387221180092,15.156383070662367,359.9971270543098
Oil_4 + 7.8% Oil_A,325.630013343048,14.752343488264401,387.420503102798,0.8405079512703149,1.31846,1,392.5427035126049,15.777742001566516,331.33520431886774
Oil_5,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.5,1,310.8032903786984,13.438864392648183,288.05794330402415
Oil_6,230.0,10.3,274.79091995221,0.8370000000000001,0.1,0,153.40541108448872,12.419278180996564,338.04942247219225
Oil_6 + 20% Oil_A,170.803331921502,7.7428208386277,207.155554477901,0.8245172684458401,0.08,0,59.43914112185723,13.18526102434799,279.1906904746628
Oil_6 + 20.5% Oil_B,202.45608729217602,9.00911362786219,238.61786866091498,0.8484531708724351,0.0795,0,117.43998343999297,11.604062902879095,298.4245727550603
Oil_6 + 27% Oil_K,220.513549131641,11.4104039295454,270.45836713457,0.815332694151486,0.073,0,141.3422199001274,14.39463283896369,362.46222143930163
Oil_6 + 37.5% Oil_B,184.166515837104,8.15194570135747,214.598419668391,0.8581913889286229,0.0625,0,94.8538427327903,10.916366686898293,271.02982050710534
Oil_6 + 66.8% Oil_K,207.87499246032502,12.8897667793989,264.68621745740796,0.7853638714444029,0.0332,0,124.44682162585815,17.09634595346145,395.7362046776235
Oil_7,258.996426075038,10.9,297.69704146556097,0.87,0.1,0,205.9828976258544,10.051117522587868,340.1304035025421
Oil_7 + 13% Oil_L,209.642895050336,7.971734252986949,240.96884488544399,0.87,0.087,0,127.39314719777929,9.67920891643414,274.6189079050212
