,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt
Surf_1,1,12.4,0.0,0.0,0,0,1,0,0,1
Surf_2,1,20.0,0.0,0.0,0,0,1,0,0,1
Surf_3,1,16.0,0.0,0.0,0,0,1,0,0,2
Surf_4,1,20.0,0.0,0.0,0,0,1,0,0,2
Surf_5,1,11.7,0.0,0.0,0,0,1,0,0,3
Surf_6,1,22.0,0.0,0.0,0,0,1,0,0,5
Surf_7,1,14.5,0.0,0.0,0,0,1,0,0,7
Surf_8,1,16.0,0.0,0.0,0,0,1,0,0,7
Surf_9,1,14.0,0.0,0.0,0,0,1,0,0,10
Surf_10,1,24.0,0.0,0.0,0,0,1,0,0,12
Surf_11,1,11.0,0.0,0.0,0,0,1,0,0,18
Surf_12,1,16.0,0.0,0.0,0,0,1,0,0,19
Surf_13,1,17.0,0.0,0.0,0,0,1,0,0,29
Surf_14,1,16.5,0.0,0.0,0,0,1,0,0,40
Surf_15,1,15.5,0.0,0.0,0,0,1,0,0,85
Surf_16,1,12.0,0.0,0.0,0,0,1,0,0,114
Surf_17,1,16.0,0.0,0.0,0,0,1,0,0,123
Surf_18,1,13.0,45.0,35.0,0,1,0,0,0,1
Surf_19,1,16.5,7.0,0.0,0,1,0,0,0,1
Surf_20,1,18.0,30.0,35.0,0,1,0,0,0,1
Surf_21,1,18.0,10.0,45.0,0,1,0,0,0,1
Surf_22,1,18.0,60.0,45.0,0,1,0,0,0,1
Surf_23,1,24.0,30.0,45.0,0,1,0,0,0,1
Surf_24,1,28.0,20.0,25.0,0,1,0,0,0,1
Surf_25,1,28.0,45.0,25.0,0,1,0,0,0,1
Surf_26,1,28.0,65.0,25.0,0,1,0,0,0,1
Surf_27,1,48.0,45.0,45.0,0,1,0,0,0,1
Surf_28,1,18.0,20.0,45.0,0,1,0,0,0,2
Surf_29,1,24.0,56.0,25.0,0,1,0,0,0,2
Surf_30,1,28.0,15.0,25.0,0,1,0,0,0,2
Surf_31,1,20.0,10.0,45.0,0,1,0,0,0,3
Surf_32,1,28.0,25.0,25.0,0,1,0,0,0,3
Surf_33,1,28.0,60.0,25.0,0,1,0,0,0,3
Surf_34,1,28.0,100.0,35.0,0,1,0,0,0,3
Surf_35,1,28.0,45.0,45.0,0,1,0,0,0,3
Surf_36,1,28.0,80.0,45.0,0,1,0,0,0,3
Surf_37,1,30.0,0.0,7.0,0,1,0,0,0,3
Surf_38,1,32.0,32.0,7.0,0,1,0,0,0,3
Surf_39,1,28.0,25.0,45.0,0,1,0,0,0,4
Surf_40,1,28.0,35.0,25.0,0,1,0,0,0,4
Surf_41,1,24.0,0.0,0.0,0,1,0,0,0,5
Surf_42,1,24.0,20.0,35.0,0,1,0,0,0,6
Surf_43,1,28.0,65.0,45.0,0,1,0,0,0,6
Surf_44,1,24.0,18.0,25.0,0,1,0,0,0,7
Surf_45,1,28.0,10.0,45.0,0,1,0,0,0,7
Surf_46,1,28.0,20.0,45.0,0,1,0,0,0,7
Surf_47,1,28.0,60.0,35.0,0,1,0,0,0,8
Surf_48,1,28.0,50.0,35.0,0,1,0,0,0,9
Surf_49,1,28.0,40.0,35.0,0,1,0,0,0,10
Surf_50,1,20.0,30.0,45.0,0,1,0,0,0,12
Surf_51,1,28.0,55.0,25.0,0,1,0,0,0,12
Surf_52,1,30.0,0.0,45.0,0,1,0,0,0,12
Surf_53,1,18.0,20.0,35.0,0,1,0,0,0,13
Surf_54,1,28.0,15.0,25.0,0,1,0,0,0,13
Surf_55,1,28.0,30.0,35.0,0,1,0,0,0,15
Surf_56,1,28.0,20.0,35.0,0,1,0,0,0,18
Surf_57,1,28.0,15.0,45.0,0,1,0,0,0,18
Surf_58,1,28.0,30.0,45.0,0,1,0,0,0,19
Surf_59,1,28.0,25.0,25.0,0,1,0,0,0,26
Surf_60,1,28.0,20.0,35.0,0,1,0,0,0,27
Surf_61,1,28.0,60.0,45.0,0,1,0,0,0,29
Surf_62,1,28.0,10.0,35.0,0,1,0,0,0,31
Surf_63,1,28.0,10.0,35.0,0,1,0,0,0,53
Surf_64,1,18.0,30.0,45.0,0,1,0,0,0,73
Surf_65,1,28.0,45.0,25.0,0,1,0,0,0,105
Surf_66,1,26.0,0.0,0.0,0,0,0,1,0,33
Surf_67,1,21.0,0.0,0.0,0,0,0,1,0,390
Surf_68,1,23.5,0.0,0.0,0,0,0,1,0,397
Surf_69,1,22.0,0.0,0.0,0,0,0,1,0,455
Surf_70,1,16.5,0.0,0.0,0,0,0,1,0,515
Surf_71,1,17.0,4.0,7.0,0,0,0,0,1,1
Surf_72,1,16.0,10.0,7.0,0,0,0,0,1,1
Surf_73,1,30.0,15.0,35.0,0,0,0,0,1,1
Surf_74,1,20.0,2.0,0.0,0,0,0,0,1,1
Surf_75,1,28.0,45.0,25.0,0,0,0,0,1,1
Surf_76,1,28.0,10.0,35.0,0,0,0,0,1,1
Surf_77,1,28.0,30.0,35.0,0,0,0,0,1,1
Surf_78,1,28.0,45.0,45.0,0,0,0,0,1,1
Surf_79,1,30.0,30.0,35.0,0,0,0,0,1,1
Surf_80,1,32.0,20.0,0.0,0,0,0,0,1,1
Surf_81,1,32.0,32.0,7.0,0,0,0,0,1,1
Surf_82,1,4.0,0.0,0.0,0,0,0,0,1,1
Surf_83,1,16.5,0.0,3.0,0,0,0,0,1,2
Surf_84,1,16.5,0.0,0.0,0,0,0,0,1,2
Surf_85,1,30.0,15.0,35.0,0,0,0,0,1,2
Surf_86,1,13.5,7.0,0.0,0,0,0,0,1,3
Surf_87,1,16.5,0.0,9.0,0,0,0,0,1,3
Surf_88,1,18.0,30.0,45.0,0,0,0,0,1,3
Surf_89,1,30.0,10.0,7.0,0,0,0,0,1,3
Surf_90,1,28.0,30.0,45.0,0,0,0,0,1,4
Surf_91,1,13.0,12.0,0.0,0,0,0,0,1,5
Surf_92,1,13.0,30.0,0.0,0,0,0,0,1,23
Surf_93,1,13.5,12.0,0.0,0,0,0,0,1,26
Surf_94,1,14.0,0.0,0.0,1,0,0,0,0,2
Surf_95,1,22.0,0.0,0.0,1,0,0,0,0,3
Surf_96,1,14.0,0.0,6.0,1,0,0,0,0,1
Surf_97,1,12.5,0.0,5.0,1,0,0,0,0,1
Surf_98,1,13.5,10.0,0.0,1,0,0,0,0,1
Surf_99,1,13.5,15.0,0.0,1,0,0,0,0,1
Surf_100,1,13.0,20.0,35.0,1,0,0,0,0,1
Surf_101,1,16.5,9.0,0.0,1,0,0,0,0,1
Surf_102,1,16.0,10.0,7.0,1,0,0,0,0,1
Surf_103,1,17.0,10.0,18.0,1,0,0,0,0,1
Surf_104,1,17.0,6.0,18.0,1,0,0,0,0,1
Surf_105,1,17.0,0.0,7.0,1,0,0,0,0,1
Surf_106,1,18.0,20.0,35.0,1,0,0,0,0,1
Surf_107,1,18.0,30.0,35.0,1,0,0,0,0,1
Surf_108,1,18.0,30.0,45.0,1,0,0,0,0,1
Surf_109,1,18.0,60.0,45.0,1,0,0,0,0,1
Surf_110,1,20.0,14.0,0.0,1,0,0,0,0,1
Surf_111,1,20.0,30.0,7.0,1,0,0,0,0,1
Surf_112,1,24.0,14.0,0.0,1,0,0,0,0,1
Surf_113,1,24.0,15.0,25.0,1,0,0,0,0,1
Surf_114,1,24.0,2.0,0.0,1,0,0,0,0,1
Surf_115,1,24.0,30.0,35.0,1,0,0,0,0,1
Surf_116,1,24.0,8.0,0.0,1,0,0,0,0,1
Surf_117,1,28.0,15.0,25.0,1,0,0,0,0,1
Surf_118,1,28.0,25.0,25.0,1,0,0,0,0,1
Surf_119,1,28.0,45.0,45.0,1,0,0,0,0,1
Surf_120,1,30.0,8.5,6.5,1,0,0,0,0,1
Surf_121,1,30.0,9.9,7.96,1,0,0,0,0,1
Surf_122,1,30.0,11.5,9.5,1,0,0,0,0,1
Surf_123,1,32.0,45.0,26.0,1,0,0,0,0,1
Surf_124,1,32.0,30.0,25.0,1,0,0,0,0,1
