,issurf,NC,NEO,NPO,HG_SO4,HG_COO,HG_ABS,HG_IOS,HG_Nonionic,cnt,label
Surf_1,1,0.19090909090909094,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
Surf_2,1,0.36363636363636365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46
Surf_3,1,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0019455252918287938,3
Surf_4,1,0.36363636363636365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0019455252918287938,46
Surf_5,1,0.17499999999999996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0038910505836575876,3
Surf_6,1,0.40909090909090906,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.007782101167315175,46
Surf_7,1,0.23863636363636362,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011673151750972763,3
Surf_8,1,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011673151750972763,3
Surf_9,1,0.22727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017509727626459144,3
Surf_10,1,0.4545454545454545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.021400778210116732,46
Surf_11,1,0.1590909090909091,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033073929961089495,3
Surf_12,1,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03501945525291829,3
Surf_13,1,0.2954545454545454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.054474708171206226,3
Surf_14,1,0.28409090909090906,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07587548638132297,3
Surf_15,1,0.26136363636363635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16342412451361868,39
Surf_16,1,0.1818181818181818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2198443579766537,39
Surf_17,1,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23735408560311286,39
Surf_18,1,0.20454545454545456,0.45,0.5384615384615385,0.0,1.0,0.0,0.0,0.0,0.0,56
Surf_19,1,0.28409090909090906,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14
